,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
139,Igarka,RU,2020-04-20 01:51:58,67.47,86.58,38.41,73,100,26.51,overcast clouds,0.0,0.0
140,Azogues,EC,2020-04-20 01:51:58,-2.73,-78.83,55.4,87,58,3.36,broken clouds,0.0,0.0
141,Castro,BR,2020-04-20 01:48:44,-24.79,-50.01,56.52,70,49,5.79,scattered clouds,0.0,0.0
142,Walvis Bay,NA,2020-04-20 01:51:58,-22.96,14.51,59.0,87,91,9.17,overcast clouds,0.0,0.0
143,Yerbogachen,RU,2020-04-20 01:51:59,61.28,108.01,30.92,79,0,3.96,clear sky,0.0,0.0
144,Komsomolskiy,UZ,2020-04-20 01:51:59,40.43,71.72,55.4,62,4,9.17,clear sky,0.0,0.0
145,Kupang,ID,2020-04-20 01:51:59,-10.17,123.58,87.8,62,20,9.17,few clouds,0.0,0.0
146,Bundaberg,AU,2020-04-20 01:51:59,-24.85,152.35,82.99,57,0,5.82,clear sky,0.0,0.0
147,Koumac,NC,2020-04-20 01:52:00,-20.57,164.28,80.96,76,100,8.88,light rain,2.67,0.0
148,Asyut,EG,2020-04-20 01:48:14,27.18,31.18,60.8,55,0,6.93,clear sky,0.0,0.0
149,Margate,GB,2020-04-20 01:52:01,51.38,1.39,52.0,69,0,8.01,clear sky,0.0,0.0
150,Khatanga,RU,2020-04-20 01:52:02,71.97,102.5,31.03,95,61,5.66,broken clouds,0.0,0.0
151,Shenjiamen,CN,2020-04-20 01:52:02,29.96,122.3,58.41,74,10,5.14,clear sky,0.0,0.0
152,Baykit,RU,2020-04-20 01:52:02,61.67,96.37,35.87,75,6,4.72,clear sky,0.0,0.0
153,Igbo Ora,NG,2020-04-20 01:52:02,7.43,3.28,77.38,82,100,3.76,overcast clouds,0.0,0.0
154,Saskylakh,RU,2020-04-20 01:52:03,71.92,114.08,22.86,95,17,2.73,few clouds,0.0,0.0
155,Bristol,US,2020-04-20 01:49:01,41.83,-71.17,51.01,61,1,9.17,clear sky,0.0,0.0
156,Bosaso,SO,2020-04-20 01:48:08,11.28,49.18,82.89,68,81,3.42,broken clouds,0.0,0.0
157,Severo-Kurilsk,RU,2020-04-20 01:52:03,50.68,156.12,31.71,92,52,9.17,broken clouds,0.0,0.0
158,Lafiagi,NG,2020-04-20 01:52:04,8.87,5.42,80.19,73,100,4.27,overcast clouds,0.0,0.0
159,Bitung,ID,2020-04-20 01:52:04,1.45,125.18,89.6,62,20,3.36,few clouds,0.0,0.0
160,Dalby,AU,2020-04-20 01:52:04,-27.18,151.27,71.6,30,14,10.29,few clouds,0.0,0.0
161,Bay Roberts,CA,2020-04-20 01:51:31,47.6,-53.26,36.0,1,100,7.0,light rain,0.0,0.0
162,Dangriga,BZ,2020-04-20 01:52:05,16.97,-88.23,82.0,81,9,7.0,clear sky,0.0,0.0
163,San Quintin,MX,2020-04-20 01:52:05,30.48,-115.95,59.58,74,79,18.79,broken clouds,0.0,0.0
164,Chuy,UY,2020-04-20 01:52:05,-33.7,-53.46,64.47,85,0,9.71,clear sky,0.0,0.0
165,Plainview,US,2020-04-20 01:52:05,40.78,-73.47,55.0,62,90,13.87,overcast clouds,0.0,0.0
166,Cuamba,MZ,2020-04-20 01:52:06,-14.8,36.54,64.04,78,69,4.76,broken clouds,0.0,0.0
167,Nakhon Phanom,TH,2020-04-20 01:52:06,17.41,104.78,93.0,70,2,4.7,mist,0.0,0.0
168,Panaba,MX,2020-04-20 01:49:10,21.28,-88.27,78.44,73,0,12.24,clear sky,0.0,0.0
169,Mangrol,IN,2020-04-20 01:52:06,21.12,70.12,82.8,61,0,9.44,clear sky,0.0,0.0
170,Machachi,EC,2020-04-20 01:52:07,-0.5,-78.57,57.2,87,20,6.93,few clouds,0.0,0.0
171,Bredasdorp,ZA,2020-04-20 01:52:07,-34.53,20.04,52.0,93,0,8.05,clear sky,0.0,0.0
172,Tilichiki,RU,2020-04-20 01:52:07,60.47,166.1,17.91,90,100,16.71,overcast clouds,0.0,0.0
173,Erzurum,TR,2020-04-20 01:52:07,40.0,41.5,33.8,41,75,1.12,broken clouds,0.0,0.0
174,Pundaguitan,PH,2020-04-20 01:52:08,6.37,126.17,83.52,76,55,9.57,broken clouds,0.0,0.0
175,Rudbar,AF,2020-04-20 01:52:08,30.15,62.6,73.56,33,49,2.75,scattered clouds,0.0,0.0
176,Caceres,ES,2020-04-20 01:52:08,39.52,-6.37,48.99,88,98,1.01,overcast clouds,0.0,0.0
177,Hammerfest,NO,2020-04-20 01:52:08,70.66,23.68,39.2,93,75,43.62,broken clouds,0.0,0.0
178,Nanortalik,GL,2020-04-20 01:52:09,60.14,-45.24,27.81,86,17,6.93,few clouds,0.0,0.0
179,Broken Hill,AU,2020-04-20 01:52:09,-31.95,141.43,71.6,28,100,13.87,overcast clouds,0.0,0.0
180,Vanimo,PG,2020-04-20 01:52:09,-2.67,141.3,81.81,82,100,9.69,moderate rain,6.63,0.0
181,Alofi,NU,2020-04-20 01:52:09,-19.06,-169.92,84.2,74,2,14.99,light rain,0.35,0.0
182,Le Port,RE,2020-04-20 01:52:09,-20.94,55.29,75.2,78,16,14.99,few clouds,0.0,0.0
183,Umm Kaddadah,SD,2020-04-20 01:52:10,13.6,26.69,72.55,16,87,12.71,overcast clouds,0.0,0.0
